,No.,Date,Media,News_title,Sentiment(MaxEntropy),positive_word(VADER),negative_word(VADER),Year,Month,Day,Vader_Score,Sentiment(VADER),Sentiment(SparkNLP),Score(SparkNLP)
377,92,11/5/2021 0:00, Malaysians Must Know The Truth,MCO 3.0 not expected to significantly impact economic growth,2,"['growth', 0.3818]",[],2021,May,11,0.382,1,1,1
378,93,9/5/2021 0:00,The Malay Mail Online,UM Don calls on government to choose quality FDIs over quantity,2,[],[],2021,May,9,0,2,0,-1
379,94,28/4/2021 0:00, Dailyexpress,Labour market shows cheering signs: Economists,2,"['cheering', 0.5106]",[],2021,April,28,0.511,1,0,-0.999840983
380,95,20/4/2021 0:00, New Strait Times,Finexus Cards appointed as one of Selangor's digital service providers,2,[],[],2021,April,20,0,2,1,1
381,96,31/3/2021 0:00, Theedgemalaysia,"Online retail sales almost doubled during pandemic, says BNM",2,[],[],2021,March,31,0,2,1,0.999946876
382,97,29/3/2021 0:00,Theedgemalaysia,"The Week Ahead: Trade-fuelled week, Bank Negara 2020 annual report in focus",2,[],[],2021,March,29,0,2,1,1
383,98,22/3/2021 0:00,New Strait Times,World Water Day 2021 - How much do we value water,2,"['value', 0.34]",[],2021,March,22,0.34,1,1,0.999999794
384,99,14/3/2021 0:00,Dailyexpress,"ITP: Industrialisation, economic value chain",2,"['value', 0.34]",[],2021,March,14,0.34,1,1,0.999999786
385,100,9/3/2021 0:00,The Malaysian Reserve,Job creation remains a challenge,2,"['creation', 0.2732, 'challenge', 0.0772]",[],2021,March,9,0.34,1,0,-1
386,101,8/3/2021 0:00, Focus Malaysia,Re-envisioning FDI for the next lap post-pandemic,2,[],[],2021,March,8,0,2,1,0.999991571
387,102,8/3/2021 0:00,Business Today,Re-envisioning FDI For The Next Lap,2,[],[],2021,March,8,0,2,1,0.999999995
388,103,8/3/2021 0:00,Dailyexpress,Ministry preparing paper on anti-cyberbullying laws,2,[],[],2021,March,8,0,2,1,0.99999996
389,104,8/3/2021 0:00, Theborneopost,KKMM preparing Cabinet paper on anti-cyberbullying laws,2,[],[],2021,March,8,0,2,1,1
390,105,7/3/2021 0:00,Theedgemalaysia,KKMM preparing cabinet paper on anti-cyberbullying laws,2,[],[],2021,March,7,0,2,1,1
391,106,7/3/2021 0:00, New Malaysia Times,KKMM preparing cabinet paper on anti-cyberbullying laws,2,[],[],2021,March,7,0,2,1,1
392,107,7/3/2021 0:00, The Malay Mail Online,Communications Ministry preparing cabinet paper on anti-cyberbullying laws,2,[],[],2021,March,7,0,2,1,0.999999999
393,108,7/3/2021 0:00,Bernama,KKMM preparing cabinet paper on anti-cyberbullying laws,2,[],[],2021,March,7,0,2,1,1
394,109,7/3/2021 0:00,Malaysia Now,Communications Ministry preparing cabinet paper on anti-cyberbullying laws,2,[],[],2021,March,7,0,2,1,0.999999999
395,110,28/2/2021 0:00, Thesundaily,Matching grants can boost EPF funds,2,"['grants', 0.2263, 'boost', 0.4019]",[],2021,February,28,0.557,1,1,1
396,111,18/2/2021 0:00,The Star,"DOSM: 73,000 jobs created in 2020",2,"['created', 0.25]",[],2021,February,18,0.25,1,1,0.983985381
397,112,18/2/2021 0:00, Bernama,"Statistics Dept: 73,000 jobs created in 2020",2,"['created', 0.25]",[],2021,February,18,0.25,1,0,-0.997237149
398,113,18/2/2021 0:00, The Malay Mail Online,"Statistics Dept says 73,000 jobs created in 2020",2,"['created', 0.25]",[],2021,February,18,0.25,1,0,-0.99956856
399,114,18/2/2021 0:00,The Star,MAPPING OUT THE COUNTRY'S DIGITAL FUTURE,2,[],[],2021,February,18,0,2,1,1
400,115,14/2/2021 0:00,The Malaysian Insight,"Be transparent on economic performance figures, PKR Youth tells Zafrul",2,[],[],2021,February,14,0,2,1,0.999995757
401,116,11/2/2021 0:00, Selangor Journal,Fourth quarter 2020 GDP contraction within expectations due to CMCO extension - Economists,2,[],[],2021,February,11,0,2,1,0.942910935
402,117,11/2/2021 0:00, The Malay Mail Online,Economists: Malaysia's Q4 2020 GDP contraction within expectations due to CMCO extension,2,[],[],2021,February,11,0,2,1,0.999999566
403,118,11/2/2021 0:00, Selangor Journal,Pandemic 2020: Malaysia's economy contracts -5.6 pct,2,[],[],2021,February,11,0,2,1,1
404,119,11/2/2021 0:00, Astro Awani,COVID-19 restrictions: Malaysia's fourth quarter GDP contracted 3.4 percent,2,[],[],2021,February,11,0,2,0,-0.999999837
405,120,11/2/2021 0:00, The Malaysian Reserve,Malaysia's economy contracts -5.6% in 2020,2,[],[],2021,February,11,0,2,1,1
406,121,26/1/2021 0:00, The Malaysian Reserve,New form of fiscal assistance needed,2,[],[],2021,January,26,0,2,1,0.918131844
407,122,24/1/2021 0:00, Focus Malaysia,Can Malaysia ever move away from the middle-income trap,2,[],"['trap', -0.3182]",2021,January,24,-0.318,0,1,0.999999993
408,123,19/1/2021 0:00,Thesundaily,Saving travel businesses and jobs,2,[],[],2021,January,19,0,2,1,0.999999997
409,124,18/1/2021 0:00, Thesundaily,Saving travel businesses and jobs,2,[],[],2021,January,18,0,2,1,0.999999997
410,125,18/1/2021 0:00, Focus Malaysia,Saving businesses in the travel industry and the jobs around it,2,[],[],2021,January,18,0,2,1,0.999999766
411,1,21/12/2021 0:00,i3investor,"New strategy to eradicate hardcore poverty being implemented, says Mustapa",0,[],"['poverty', -0.5106]",2021,December,21,-0.511,0,0,-0.999999948
412,2,15/12/2021 0:00,Bernama,Everyone have to play their role in breaking COVID-19 chain -- FMM,0,"['play', 0.34]",[],2021,December,15,0.34,1,1,0.999992777
413,3,15/12/2021 0:00,Theedgemalaysia,"FMM: RM2m fine on firms for Covid-19 offences 'too punitive', opens doors to abuse",0,"['fine', 0.2023]","['offences', -0.34, 'punitive', -0.5106, 'abuse', -0.6369]",2021,December,15,-0.7,0,0,-0.975938066
414,4,8/12/2021 0:00,Bernama,COVID-19 still the nemesis of economic growth in 2021,0,"['growth', 0.3818]",[],2021,December,8,0.382,1,1,0.999858353
415,5,8/12/2021 0:00,Selangor Journal,Covid-19 still the nemesis of economic growth in 2021,0,"['growth', 0.3818]",[],2021,December,8,0.382,1,1,0.999858353
416,6,8/12/2021 0:00,Thesundaily,Covid-19 still the nemesis of economic growth in 2021,0,"['growth', 0.3818]",[],2021,December,8,0.382,1,1,0.999858353
417,7,8/12/2021 0:00,The Malaysian Reserve,COVID-19 still the nemesis of economic growth in 2021,0,"['growth', 0.3818]",[],2021,December,8,0.382,1,1,0.999858353
418,8,2/12/2021 0:00,i3investor,"Declaration of unplanned holiday in Federal Territories on Dec 3 irresponsible, socially and economically disruptive - Ong Kian Ming",0,"['holiday', 0.4019]","['irresponsible', -0.4404, 'disruptive', -0.3182]",2021,December,2,-0.361,0,1,0.999999952
419,9,2/12/2021 0:00,Newsmalaysiamsn,"Declaration of unplanned holiday in Federal Territories on Dec 3 irresponsible, socially and economically disruptive - Ong Kian Ming",0,"['holiday', 0.4019]","['irresponsible', -0.4404, 'disruptive', -0.3182]",2021,December,2,-0.361,0,1,0.999999952
420,10,29/11/2021 0:00,Theborneopost,"ReDI to prepare petty traders, small businesses for digitalisation wave",0,[],"['petty', -0.2023]",2021,November,29,-0.202,0,1,0.999999991
421,11,27/11/2021 0:00,Thesundaily,A colour blind budget,0,[],"['blind', -0.4019]",2021,November,27,-0.402,0,0,-0.99999999
422,12,22/11/2021 0:00,Theedgemalaysia,"The Week Ahead: Market reaction to Melaka state polls outcome, 3Q earnings and October inflation",0,[],[],2021,November,22,0,2,1,0.87543162
423,13,17/11/2021 0:00,The Malaysian Reserve,"Weaker investment in capital stock a concern, says DoSM",0,[],"['Weaker', -0.4404]",2021,November,17,-0.44,0,0,-0.999998041
424,14,1/11/2021 0:00,Bharian,The Malaysian Census 2020 population profile is the basis of the MSPR,0,[],[],2021,November,1,0,2,1,0.999964198
425,15,29/10/2021 0:00,The Vibes,Private tertiary institutions cry for tax-free status under Budget 2022,0,[],"['cry', -0.4767]",2021,October,29,-0.477,0,0,-1
426,16,1/10/2021 0:00,Focus Malaysia,Malaysian plantation stocks: A cyclical sector but not cyclical profits,0,"['profits', 0.4404]",[],2021,October,1,-0.478,0,0,-0.999980686
427,17,30/9/2021 0:00,Theedgemalaysia,MIDF Research expects PPI inflation to remain high in the near term,0,[],[],2021,September,30,0,2,1,0.944969035
428,18,29/9/2021 0:00,Sinarharian,Tourism sector employment decreased,0,[],[],2021,September,29,0,2,1,0.999999993
429,19,29/9/2021 0:00,Malaysia Gazette,Tourism sector employment decreased by 3.5 million last year,0,[],[],2021,September,29,0,2,1,0.953466465
430,20,27/9/2021 0:00,Dap Malaysia,The government must reduce interest rate for bank loans in the tourism and hospitality sector adversely affected by the COVID-19 pandemic that lost RM130 billion in 2020,0,"['interest', 0.4588]","['adversely', -0.2023, 'affected', -0.1531, 'lost', -0.3182]",2021,September,27,-0.178,0,1,0.87617048
431,21,27/9/2021 0:00,The Rocket,The tourism and hospitality sector needs help,0,"['help', 0.4019]",[],2021,September,27,0.402,1,1,0.999999942
432,22,25/9/2021 0:00,Travelandtourworld,"In 2020, tourism performance of Malaysia dropped 71.2 percent",0,[],[],2021,September,25,0,2,1,0.999999805
433,23,23/9/2021 0:00,New Sarawak Tribune,Tourism receipts drop 71.2 percent to rm52.4 billion last year,0,[],"['drop', -0.2732]",2021,September,23,-0.273,0,1,0.99940038
434,24,23/9/2021 0:00,i3investor,Tourism receipts dropped 71.2pc to RM52.4 billion last year,0,[],[],2021,September,23,0,2,0,-0.764021034
435,25,23/9/2021 0:00,Selangor Journal,Tourism receipts drop 71.2 pct to RM52.4 bln last year - DOSM,0,[],"['drop', -0.2732]",2021,September,23,-0.273,0,1,1
436,26,23/9/2021 0:00,Bernama,Tourism receipts drop 71.2 percent to RM52.4 billion last year - Chief Statistician,0,[],"['drop', -0.2732]",2021,September,23,-0.273,0,1,0.86208044
437,27,23/9/2021 0:00,Thesundaily,Tourism receipts drop 71.2 pct to RM52.4 billion last year - Chief Statistician,0,[],"['drop', -0.2732]",2021,September,23,-0.273,0,1,0.99997586
438,28,23/9/2021 0:00,i3investor,"Stats Dept: Covid-19 pandemic slashed Malaysia's 2020 tourist arrivals by 83.4pc, worst drop in history",0,[],"['slashed', -0.2263, 'worst', -0.6249, 'drop', -0.2732]",2021,September,23,-0.796,0,0,-0.999998047
439,29,23/9/2021 0:00,Theborneopost,"Stats Dept: Covid-19 pandemic slashed Malaysia's 2020 tourist arrivals by 83.4 pct, worst drop in history",0,[],"['slashed', -0.2263, 'worst', -0.6249, 'drop', -0.2732]",2021,September,23,-0.796,0,0,-0.999957972
440,30,23/9/2021 0:00,News Yahoo Malaysia,"Stats Dept: Covid-19 pandemic slashed Malaysia's 2020 tourist arrivals by 83.4pc, worst drop in history",0,[],"['slashed', -0.2263, 'worst', -0.6249, 'drop', -0.2732]",2021,September,23,-0.796,0,0,-0.999998047
441,31,23/9/2021 0:00,The Malay Mail Online,"Stats Dept: Covid-19 pandemic slashed Malaysia's 2020 tourist arrivals by 83.4pc, worst drop in history",0,[],"['slashed', -0.2263, 'worst', -0.6249, 'drop', -0.2732]",2021,September,23,-0.796,0,0,-0.999998047
442,32,23/9/2021 0:00,Malaysia Chronicle,"ECONOMIC DISASTER - ANOTHER 'WORST IN HISTORY' - AND THE BUCK STOPS WITH ISMAIL SABRI - EVEN IF IT WAS MUHYIDDIN WHO TRIGGERED IT - TOURISM, ONE OF COUNTRY'S KEY SECTORS, TAKES A MASSIVE BEATING - AS TOURIST ARRIVALS PLUNGE BY 83",0,[],"['DISASTER', -0.6249, ""'WORST"", -0.6249, 'STOPS', -0.1531, 'BEATING', -0.4588]",2021,September,23,-0.95,0,0,-0.999999971
443,33,3/9/2021 0:00,Business Today,New Administration Has Window To Reconfigure Stagnant FDI,0,[],[],2021,September,3,0,2,1,0.999997834
444,34,27/8/2021 0:00,Malaysians Must Know The Truth,Economic recovery may be derailed by Covid surge - stats department,0,[],"['derailed', -0.34]",2021,August,27,-0.34,0,1,1
445,35,27/8/2021 0:00,New Malaysia Times,Malaysia's economic recovery momentum may be derailed by COVID-19 surge,0,[],"['derailed', -0.34]",2021,August,27,-0.34,0,1,0.999999991
446,36,27/8/2021 0:00,Selangor Journal,Malaysia's economic recovery momentum may be derailed by Covid-19 surge,0,[],"['derailed', -0.34]",2021,August,27,-0.34,0,1,0.999999991
447,37,27/8/2021 0:00,i3investor,Malaysia's economic recovery momentum may be derailed by Covid-19 surge - DOSM,0,[],"['derailed', -0.34]",2021,August,27,-0.34,0,1,0.999999769
448,38,27/8/2021 0:00,i3investor,DOSM: Malaysia's economic recovery momentum may be derailed by Covid-19 surge,0,[],"['derailed', -0.34]",2021,August,27,-0.34,0,1,0.999999968
449,39,27/8/2021 0:00,Theborneopost,Malaysia's economic recovery momentum may be derailed by Covid-19 surge,0,[],"['derailed', -0.34]",2021,August,27,-0.34,0,1,0.999999991
450,40,27/8/2021 0:00,Theedgemalaysia,Malaysia's economic recovery momentum may be derailed by Covid-19 surge - DOSM,0,[],"['derailed', -0.34]",2021,August,27,-0.34,0,1,0.999999769
451,41,27/8/2021 0:00,The Malay Mail Online,DOSM: Malaysia's economic recovery momentum may be derailed by Covid-19 surge,0,[],"['derailed', -0.34]",2021,August,27,-0.34,0,1,0.999999968
452,42,27/8/2021 0:00,Bernama,Malaysia's economic recovery momentum may be derailed by COVID-19 surge - DOSM,0,[],"['derailed', -0.34]",2021,August,27,-0.34,0,1,0.999999769
453,43,23/8/2021 0:00,Business Today,Federal Government Urged To Initiate Surge Capacity For Sabah ASAP,0,[],[],2021,August,23,0,2,1,1
454,44,20/8/2021 0:00,Mymetro,Take a pay cut to avoid layoffs,0,[],[],2021,August,20,-0.572,0,0,-0.999999985
455,45,20/8/2021 0:00,The Malaysian Reserve,Selangor records highest increase in scheduled waste,0,"['increase', 0.3182]","['waste', -0.4215]",2021,August,20,-0.128,0,1,0.99999996
456,46,19/8/2021 0:00,Bharian,Firms not allowed to operate tend to cut wages,0,[],[],2021,August,19,-0.273,0,0,-0.999999786
457,47,16/8/2021 0:00,Theborneopost,"Fitch unit warns of stagnant economy for rest of 2021, cuts Malaysia's GDP growth forecast to zero",0,"['growth', 0.3818]","['warns', -0.1027, 'cuts', -0.296]",2021,August,16,0,2,0,-0.99680912
458,48,16/8/2021 0:00,News Yahoo Malaysia,"Fitch unit warns of stagnant economy for rest of 2021, cuts Malaysia's GDP growth forecast to zero",0,"['growth', 0.3818]","['warns', -0.1027, 'cuts', -0.296]",2021,August,16,0,2,0,-0.99680912
459,49,16/8/2021 0:00,i3investor,"Fitch unit warns of stagnant economy for rest of 2021, cuts Malaysia's GDP growth forecast to zero",0,"['growth', 0.3818]","['warns', -0.1027, 'cuts', -0.296]",2021,August,16,0,2,0,-0.99680912
460,50,16/8/2021 0:00,The Malay Mail Online,"Fitch unit warns of stagnant economy for rest of 2021, cuts Malaysia's GDP growth forecast to zero",0,"['growth', 0.3818]","['warns', -0.1027, 'cuts', -0.296]",2021,August,16,0,2,0,-0.99680912
461,51,11/8/2021 0:00,i3investor,Better 2Q 2021 envisaged even as growth slowed to a 4-month low in June,0,"['Better', 0.4404, 'growth', 0.3818]","['low', -0.2732]",2021,August,11,0.527,1,1,0.992193317
462,52,11/8/2021 0:00,Focus Malaysia,Better 2Q 2021 envisaged even as growth slowed to a 4-month low in June,0,"['Better', 0.4404, 'growth', 0.3818]","['low', -0.2732]",2021,August,11,0.527,1,1,0.992193317
463,53,11/8/2021 0:00,The Malaysian Reserve,Lockdown pushes unemployment to 4-month high in June,0,[],"['unemployment', -0.4404]",2021,August,11,-0.44,0,1,0.84006705
464,54,10/8/2021 0:00,Thesundaily,Tackle rising youth unemployment,0,[],"['unemployment', -0.4404]",2021,August,10,-0.44,0,1,1
465,55,10/8/2021 0:00,Malaysia Chronicle,THE PROBLEM IS MUHYIDDIN REGIME IS JUST TOO STUPID - ITS ONE-SIZE-FITS-ALL MCOs ARE PUSHING BUSINESSES INTO DEEP COLLAPSE - WHILE GIVING VACCINATED INDIVIDUALS FREEDOM BEFORE IT'S SAFE - ALL IN THE GAME OF WINNING THE 'HEARTS & MINDS' OF THE PEOPLE - YET ACTUALLY CONDEMNING THEM TO A TERRIBLE & HORRIFIC SLOW DEATH,0,"['GIVING', 0.34, 'FREEDOM', 0.6369, 'SAFE', 0.4404, 'WINNING', 0.5267]","['PROBLEM', -0.4019, 'STUPID', -0.5267, 'COLLAPSE', -0.4939, 'TERRIBLE', -0.4767, 'HORRIFIC', -0.6597, 'DEATH', -0.5994]",2021,August,10,-0.882,0,0,-1
466,56,9/8/2021 0:00,Thesundaily,Tackle rising youth unemployment,0,[],"['unemployment', -0.4404]",2021,August,9,-0.44,0,1,1
467,57,6/8/2021 0:00,Mysinchew.Com,Graduate unemployment (and under-employment) - part of our structural growth challenge,0,"['growth', 0.3818, 'challenge', 0.0772]","['unemployment', -0.4404]",2021,August,6,0,2,1,0.999999998
468,58,5/8/2021 0:00,The Malay Mail Online,Graduate unemployment (and under-employment) - part of our structural growth challenge - Rais Hussin and Jason Loh,0,"['growth', 0.3818, 'challenge', 0.0772]","['unemployment', -0.4404]",2021,August,5,0,2,1,0.999999995
469,59,5/8/2021 0:00,Astro Awani,Graduate unemployment (and under-employment) part of our structural growth challenge,0,"['growth', 0.3818, 'challenge', 0.0772]","['unemployment', -0.4404]",2021,August,5,0,2,1,0.999999998
470,60,3/8/2021 0:00,Sinarharian,"DPMM called for a political truce, focus on the people's problems",0,[],[],2021,August,3,-0.402,0,1,0.964416868
471,61,3/8/2021 0:00,Dagangnews.Com,"Put aside political differences, focus on COVID-19 and the economic level of the people, urges DPMM",0,[],[],2021,August,3,0,2,1,0.999996898
472,62,2/8/2021 0:00,Malaysianow.Com,The impact of Covid-19 on Malaysia's absolute poverty rate,0,[],"['poverty', -0.5106]",2021,August,2,-0.511,0,1,0.987181191
473,63,1/8/2021 0:00,Wartawan Rasmi Laman Reformasi,"The PN government is slow to give aid to SMEs: 65,000 lost their jobs - JUSTICE",0,[],[],2021,August,1,0.428,1,1,0.999991591
474,64,1/8/2021 0:00,Suara Pakatan Daily,65k in the SME sector lost their jobs due to the slowdown of the PN government,0,[],[],2021,August,1,-0.318,0,0,-0.48518107
475,65,31/7/2021 0:00,Dap Malaysia,"Malaysia cannot recover from the economic recession it is currently facing when Mahiaddin Md Yassin insists on protecting his own political interests, so he is willing to trigger a constitutional crisis by deceiving the Yang DiPertuan Agong and opposing the constitutional monarch",0,[],[],2021,July,31,-0.807,0,1,0.999999961
476,66,31/7/2021 0:00,Dap Malaysia,"Malaysia cannot recover from the current economic recession when a stubborn Mahiaddin Md Yassin serving his own selfish political interests, is willing to spark off a constitutional crisis by deceiving the King and confronting the constitutional monarchy",0,"['interests', 0.25, 'spark', 0.2263]","['recession', -0.4215, 'stubborn', -0.4019, 'selfish', -0.4767, 'crisis', -0.6249, 'deceiving', -0.34, 'confronting', -0.1531]",2021,July,31,-0.915,0,1,1
477,67,30/7/2021 0:00,Malaysia Dateline Amanah,The fate of graduates is increasingly worrying during the pandemic,0,[],[],2021,July,30,-0.34,0,0,-0.911344236
478,68,30/7/2021 0:00,Thesundaily,MSMEs suffer RM40.7 billion losses from 2020 lockdown,0,[],"['suffer', -0.5423, 'losses', -0.4019]",2021,July,30,-0.735,0,0,-0.999999997
479,69,29/7/2021 0:00,i3investor,Medac: RM40.7b losses in 2020 were biggest ever for MSME sector,0,[],"['losses', -0.4019]",2021,July,29,-0.402,0,0,-0.999999975
480,70,29/7/2021 0:00,i3investor,Medac: RM40.7b losses last year were the biggest losses in the MSME sector so far,0,[],"['losses', -0.4019, 'losses', -0.4019]",2021,July,29,-0.66,0,2,-0.02032888
481,71,29/7/2021 0:00,Focus Malaysia,Malaysia suffered RM40.7 bil losses from MSME sector in 2020,0,[],"['suffered', -0.4939, 'losses', -0.4019]",2021,July,29,-0.71,0,0,-0.999419813
482,72,29/7/2021 0:00,Malaysia Now,Medac: RM40.7b losses in 2020 were biggest ever for MSME sector,0,[],"['losses', -0.4019]",2021,July,29,-0.402,0,0,-0.999999975
483,73,29/7/2021 0:00,Theedgemalaysia,RM40.7b losses last year biggest for MSME sector so far — MEDAC,0,[],"['losses', -0.4019]",2021,July,29,-0.402,0,1,0.999999557
484,74,29/7/2021 0:00,The Malay Mail Online,Medac: RM40.7b losses last year were the biggest losses in the MSME sector so far,0,[],"['losses', -0.4019, 'losses', -0.4019]",2021,July,29,-0.66,0,2,-0.02032888
485,75,29/7/2021 0:00,Bernama,RM40.7 bln losses last year were the biggest losses in the SMSE sector so far -- MEDAC,0,[],"['losses', -0.4019, 'losses', -0.4019]",2021,July,29,-0.66,0,1,0.999976891
486,76,29/7/2021 0:00,Malaysia Gazette,The statistical drop in the median salary of graduates is even more worrying - Faiz,0,[],[],2021,July,29,-0.585,0,0,-0.999978534
487,77,29/7/2021 0:00,New Strait Times,MSME incurs RM40.7bil losses in 2020: Medac,0,[],"['losses', -0.4019]",2021,July,29,-0.402,0,1,1
488,78,29/7/2021 0:00,The Malaysian Reserve,"MSME sector suffered RM40.7b losses in 2020, 49% at risk of collapse by Oct 2021",0,[],"['suffered', -0.4939, 'losses', -0.4019, 'risk', -0.2732, 'collapse', -0.4939]",2021,July,29,-0.881,0,0,-0.94710704
489,79,29/7/2021 0:00,New Strait Times,MSME RM40.7 billion losses last year - biggest ever,0,[],"['losses', -0.4019]",2021,July,29,-0.402,0,0,-0.99999999
490,80,28/7/2021 0:00,Dagangnews.Com,The highest GDP of SMEs declined at a rate of 7.3% - Department of Statistics,0,[],[],2021,July,28,0,2,1,0.999999999
491,81,28/7/2021 0:00,Theedgemalaysia,"Malaysian SMEs' GDP shrank 7.3% in 2020, more than overall economy's contraction of 5.6",0,[],[],2021,July,28,0,2,1,0.999999989
492,82,27/7/2021 0:00,Utusan Borneo,The company's gross operating surplus fell 6.9 percent in 2020,0,[],[],2021,July,27,-0.477,0,0,-0.999968013
493,83,27/7/2021 0:00,Bernama,Enterprise gross operating surplus down 6.9 percent in 2020 - Statistics,0,[],[],2021,July,27,-0.477,0,1,0.940508165
494,84,27/7/2021 0:00,The Malay Mail Online,Statistics Dept: Malaysia's gross operating surplus dropped 6.9pc in 2020,0,[],"['gross', -0.4767]",2021,July,27,-0.477,0,1,0.991675568
495,85,26/7/2021 0:00,i3investor,Statistics Dept: Malaysia's gross fixed capital formation shrunk 14.5pc to RM281.1b in 2020,0,[],"['gross', -0.4767]",2021,July,26,-0.477,0,2,0.02888334
496,86,26/7/2021 0:00,Bernama,PMTK contracts declined 14.5 percent to RM281.1 billion in 2020 -- Statistics,0,[],[],2021,July,26,0,2,0,-0.74151598
497,87,24/7/2021 0:00,The Coverage Bureau,Breaking News : 49% Of The Malaysia SME Sector Could Collapse By October 2021 & 7.3 Millions Malaysian Will Lose Their Job,0,[],"['Collapse', -0.4939, 'Lose', -0.4019]",2021,July,24,-0.71,0,1,0.967579517
498,88,15/7/2021 0:00,Borneo Today,Unemployment in THE New Norm: Challenging Futures for Malaysian Youth,0,"['Challenging', 0.1531]","['Unemployment', -0.4404]",2021,July,15,-0.318,0,1,0.999999996
499,89,2/7/2021 0:00,Thesundaily,Mental health is critical and needs to be addressed,0,[],"['critical', -0.3182]",2021,July,2,-0.318,0,0,-0.999999991
500,90,2/7/2021 0:00,Thesundaily,Mental health is critical and needs to be addressed,0,[],"['critical', -0.3182]",2021,July,2,-0.318,0,0,-0.999999991
501,91,2/7/2021 0:00,Sarawak Voice,Mental health is critical and need to be addressed during trying times,0,[],"['critical', -0.3182]",2021,July,2,-0.318,0,0,-1
502,92,1/7/2021 0:00,Focus Malaysia,"Address mental health issues now, people on edge",0,[],[],2021,July,1,0,2,0,-0.999583048
503,93,1/7/2021 0:00,Business Today,Mental Health Is Critical And Need To Be Addressed During Trying Times,0,[],"['Critical', -0.3182]",2021,July,1,-0.318,0,0,-1
504,94,1/7/2021 0:00,Thesundaily,"Incorporate suicide prevention in MCO plans, govt urged",0,[],"['suicide', -0.6705]",2021,July,1,-0.67,0,1,0.98213228
505,95,30/6/2021 0:00,The True Net,"From white flag to suicide – another aid package that may be too little, too late",0,[],"['suicide', -0.6705]",2021,June,30,-0.67,0,0,-1
506,96,30/6/2021 0:00,Finance Twitter,"From White Flag To Suicide – Another Dubious RM150 Billion Aid Package That May Be Too Little, Too Late",0,[],"['Suicide', -0.6705, 'Dubious', -0.3612]",2021,June,30,-0.791,0,0,-1
507,97,29/6/2021 0:00,Malaysia Kini Bm,All countries including WP recorded negative growth,0,"['WP', 0.25]",[],2021,June,29,0.161,1,1,1
508,98,23/6/2021 0:00,Malaysia Now,"In Port Dickson, clerk loses over RM700,000 in investment scam",0,[],"['loses', -0.3182, 'scam', -0.5719]",2021,June,23,-0.718,0,0,-0.999999999
509,99,21/6/2021 0:00,Theedgemalaysia,The Week Ahead: Major APAC central bank policy decisions and inflation data in the spotlight,0,[],[],2021,June,21,0,2,1,0.999999994
510,100,17/6/2021 0:00,Thesundaily,"Covid-19 exit plan, tipping into recession",0,[],"['recession', -0.4215]",2021,June,17,-0.421,0,1,0.998619294
511,101,17/6/2021 0:00,Thesundaily,"Covid-19 exit plan, tipping into recession",0,[],"['recession', -0.4215]",2021,June,17,-0.421,0,1,0.998619294
512,102,16/6/2021 0:00,i3investor,A look at the Covid-19 exit plan - Paolo Casadio and Geoffrey Williams,0,[],[],2021,June,16,0,2,1,1
513,103,16/6/2021 0:00,The Malay Mail Online,A look at the Covid-19 exit plan - Paolo Casadio and Geoffrey Williams,0,[],[],2021,June,16,0,2,1,1
514,104,16/6/2021 0:00,Malaysians Must Know The Truth,Covid-19 exit plan - tipping into a recession,0,[],"['recession', -0.4215]",2021,June,16,-0.421,0,1,0.999673378
515,105,15/6/2021 0:00,Freemalaysiatoday,Covid-19 exit plan - tipping into a recession,0,[],"['recession', -0.4215]",2021,June,15,-0.421,0,1,0.999673378
516,106,9/6/2021 0:00,New Malaysia Times,Malaysia's trade deficit in services hit a record of RM47.4 billion in 2020,0,[],"['deficit', -0.4019]",2021,June,9,-0.402,0,1,0.999983989
517,107,9/6/2021 0:00,The Malay Mail Online,Stats Dept: Malaysia's trade deficit in services hit record RM47.4b in 2020,0,[],"['deficit', -0.4019]",2021,June,9,-0.402,0,1,1
518,108,8/6/2021 0:00,Theedgemalaysia,"The Week Ahead: April unemployment, G7 meeting and Euro 2020 in focus",0,[],"['unemployment', -0.4404]",2021,June,8,-0.44,0,1,0.96622983
519,109,27/5/2021 0:00,Freemalaysiatoday,"Baby births declined in the first quarter of the year, the Department of Statistics said",0,[],[],2021,May,27,0,2,0,-0.90576246
520,110,15/5/2021 0:00,Ipoh Echo,"My Journey with AKPK, the Savior of the Financially Distressed",0,[],"['Distressed', -0.4215]",2021,May,15,-0.421,0,0,-0.999047728
521,111,11/5/2021 22:50,Theedgemalaysia,MCO 3.0 not expected to have significant impact on economic growth,0,"['significant', 0.2023, 'growth', 0.3818]",[],2021,May,11,0.527,1,1,1
522,112,11/5/2021 0:00,Bernama,MCO 3.0 not expected to have significant impact on economic growth,0,"['significant', 0.2023, 'growth', 0.3818]",[],2021,May,11,0.527,1,1,1
523,113,11/5/2021 0:00,Malaysia Now,Finance minister: MCO 3.0 not expected to have significant impact on Malaysia's economic growth,0,"['significant', 0.2023, 'growth', 0.3818]",[],2021,May,11,0.527,1,1,0.999999997
524,114,11/5/2021 0:00,The Malay Mail Online,Finance minister: MCO 3.0 not expected to have significant impact on Malaysia's economic growth,0,"['significant', 0.2023, 'growth', 0.3818]",[],2021,May,11,0.527,1,1,0.999999997
